origin_id,origin_name,destination_id,destination_name,distance_km,drive_minutes_min,drive_minutes_max,confidence,note
home,出発地（都度入力）,jaxa,JAXA相模原キャンパス,43,75,105,low,東京南部起点の概算
home,出発地（都度入力）,sagamigawa,相模川ふれあい科学館,48,85,120,low,東京南部起点の概算
home,出発地（都度入力）,science_dome,サイエンスドーム,43,70,100,low,東京南部起点の概算
home,出発地（都度入力）,tama_rokuto,多摩六都科学館,38,75,105,low,東京南部起点の概算
home,出発地（都度入力）,tachikawa_bosai,立川防災館,35,70,100,low,東京南部起点の概算
home,出発地（都度入力）,atsugi_science,厚木市子ども科学館,43,75,110,low,東京南部起点の概算
home,出発地（都度入力）,hotel_routeinn_sagamihara,ホテルルートイン相模原,45,80,110,low,東京南部起点の概算
home,出発地（都度入力）,hotel_laxio,ラクシオ・イン,43,75,105,low,東京南部起点の概算
home,出発地（都度入力）,hotel_hachioji,八王子駅周辺ホテル,44,75,105,low,東京南部起点の概算
home,出発地（都度入力）,hotel_rb_hachioji,R&Bホテル八王子ワシントン,44,75,105,low,東京南部起点の概算
home,出発地（都度入力）,hotel_super_tachikawa,スーパーホテル東京・JR立川北口,36,70,100,low,東京南部起点の概算
home,出発地（都度入力）,hotel_tachikawa_urban,立川アーバンホテル,36,70,100,low,東京南部起点の概算
home,出発地（都度入力）,hotel_tachikawa_washington,立川ワシントンホテル,36,70,100,low,東京南部起点の概算
home,出発地（都度入力）,hotel_mets_musashisakai,JR東日本ホテルメッツ武蔵境,31,65,95,low,東京南部起点の概算
home,出発地（都度入力）,hotel_routeinn_ebina,ホテルルートイン海老名駅前,45,75,110,low,東京南部起点の概算
jaxa,JAXA相模原キャンパス,sagamigawa,相模川ふれあい科学館,6,15,25,medium,相模原南西内の概算
jaxa,JAXA相模原キャンパス,science_dome,サイエンスドーム,18,45,65,medium,ユーザー地図確認を参考
jaxa,JAXA相模原キャンパス,hotel_routeinn_sagamihara,ホテルルートイン相模原,5,15,25,medium,ホテル寄せの概算
jaxa,JAXA相模原キャンパス,hotel_laxio,ラクシオ・イン,16,35,55,medium,ホテル寄せの概算
jaxa,JAXA相模原キャンパス,hotel_hachioji,八王子駅周辺ホテル,22,45,65,medium,ホテル寄せの概算
jaxa,JAXA相模原キャンパス,hotel_rb_hachioji,R&Bホテル八王子ワシントン,22,45,65,medium,ホテル寄せの概算
jaxa,JAXA相模原キャンパス,hotel_super_tachikawa,スーパーホテル東京・JR立川北口,27,60,85,medium,方面移動の概算
jaxa,JAXA相模原キャンパス,hotel_tachikawa_washington,立川ワシントンホテル,27,60,85,medium,方面移動の概算
jaxa,JAXA相模原キャンパス,hotel_mets_musashisakai,JR東日本ホテルメッツ武蔵境,33,75,105,medium,方面移動の概算
jaxa,JAXA相模原キャンパス,tama_rokuto,多摩六都科学館,33,70,95,medium,方面移動の概算
jaxa,JAXA相模原キャンパス,tachikawa_bosai,立川防災館,25,55,80,medium,方面移動の概算
jaxa,JAXA相模原キャンパス,atsugi_science,厚木市子ども科学館,19,40,65,medium,南寄り移動の概算
jaxa,JAXA相模原キャンパス,hotel_routeinn_ebina,ホテルルートイン海老名駅前,19,40,65,medium,南寄り移動の概算
sagamigawa,相模川ふれあい科学館,hotel_routeinn_sagamihara,ホテルルートイン相模原,6,15,25,medium,ホテル寄せの概算
sagamigawa,相模川ふれあい科学館,hotel_laxio,ラクシオ・イン,19,40,60,medium,ホテル寄せの概算
sagamigawa,相模川ふれあい科学館,science_dome,サイエンスドーム,25,50,70,medium,ユーザー地図確認を参考
sagamigawa,相模川ふれあい科学館,hotel_hachioji,八王子駅周辺ホテル,26,55,80,medium,ホテル寄せの概算
sagamigawa,相模川ふれあい科学館,hotel_rb_hachioji,R&Bホテル八王子ワシントン,26,55,80,medium,ホテル寄せの概算
sagamigawa,相模川ふれあい科学館,tama_rokuto,多摩六都科学館,42,85,115,medium,方面移動の概算
sagamigawa,相模川ふれあい科学館,tachikawa_bosai,立川防災館,36,75,105,medium,方面移動の概算
sagamigawa,相模川ふれあい科学館,hotel_super_tachikawa,スーパーホテル東京・JR立川北口,36,75,105,medium,方面移動の概算
sagamigawa,相模川ふれあい科学館,hotel_tachikawa_washington,立川ワシントンホテル,36,75,105,medium,方面移動の概算
sagamigawa,相模川ふれあい科学館,hotel_mets_musashisakai,JR東日本ホテルメッツ武蔵境,43,85,120,medium,方面移動の概算
science_dome,サイエンスドーム,tama_rokuto,多摩六都科学館,28,75,95,medium,ユーザー地図確認を参考
science_dome,サイエンスドーム,tachikawa_bosai,立川防災館,14,35,50,medium,ユーザー地図確認を参考
science_dome,サイエンスドーム,hotel_routeinn_sagamihara,ホテルルートイン相模原,17,40,60,medium,ホテル寄せの概算
science_dome,サイエンスドーム,hotel_laxio,ラクシオ・イン,10,25,40,medium,ホテル寄せの概算
science_dome,サイエンスドーム,hotel_hachioji,八王子駅周辺ホテル,4,12,20,medium,ホテル寄せの概算
science_dome,サイエンスドーム,hotel_rb_hachioji,R&Bホテル八王子ワシントン,4,12,20,medium,ホテル寄せの概算
science_dome,サイエンスドーム,hotel_super_tachikawa,スーパーホテル東京・JR立川北口,14,35,50,medium,ホテル寄せの概算
science_dome,サイエンスドーム,hotel_tachikawa_washington,立川ワシントンホテル,14,35,50,medium,ホテル寄せの概算
science_dome,サイエンスドーム,hotel_mets_musashisakai,JR東日本ホテルメッツ武蔵境,26,65,90,medium,北東寄せの概算
science_dome,サイエンスドーム,hotel_routeinn_ebina,ホテルルートイン海老名駅前,33,65,95,medium,南寄り移動の概算
tama_rokuto,多摩六都科学館,tachikawa_bosai,立川防災館,14,35,55,medium,ユーザー地図確認を参考
tama_rokuto,多摩六都科学館,hotel_super_tachikawa,スーパーホテル東京・JR立川北口,13,35,55,medium,ホテル寄せの概算
tama_rokuto,多摩六都科学館,hotel_tachikawa_washington,立川ワシントンホテル,13,35,55,medium,ホテル寄せの概算
tama_rokuto,多摩六都科学館,hotel_mets_musashisakai,JR東日本ホテルメッツ武蔵境,9,25,40,medium,多摩六都午前寄せ候補
tama_rokuto,多摩六都科学館,hotel_hachioji,八王子駅周辺ホテル,28,60,85,medium,ホテル寄せの概算
tama_rokuto,多摩六都科学館,hotel_rb_hachioji,R&Bホテル八王子ワシントン,28,60,85,medium,ホテル寄せの概算
tama_rokuto,多摩六都科学館,hotel_routeinn_sagamihara,ホテルルートイン相模原,35,75,105,medium,方面移動の概算
tama_rokuto,多摩六都科学館,hotel_laxio,ラクシオ・イン,33,70,100,medium,方面移動の概算
tachikawa_bosai,立川防災館,hotel_super_tachikawa,スーパーホテル東京・JR立川北口,3,10,18,medium,ホテル寄せの概算
tachikawa_bosai,立川防災館,hotel_tachikawa_washington,立川ワシントンホテル,3,10,18,medium,ホテル寄せの概算
tachikawa_bosai,立川防災館,hotel_mets_musashisakai,JR東日本ホテルメッツ武蔵境,13,35,55,medium,北東寄せの概算
tachikawa_bosai,立川防災館,hotel_hachioji,八王子駅周辺ホテル,12,30,45,medium,ホテル寄せの概算
tachikawa_bosai,立川防災館,hotel_rb_hachioji,R&Bホテル八王子ワシントン,12,30,45,medium,ホテル寄せの概算
tachikawa_bosai,立川防災館,hotel_laxio,ラクシオ・イン,21,45,70,medium,ホテル寄せの概算
tachikawa_bosai,立川防災館,hotel_routeinn_sagamihara,ホテルルートイン相模原,26,60,85,medium,方面移動の概算
hotel_laxio,ラクシオ・イン,hotel_hachioji,八王子駅周辺ホテル,10,25,40,medium,宿間移動の概算
hotel_laxio,ラクシオ・イン,hotel_rb_hachioji,R&Bホテル八王子ワシントン,10,25,40,medium,宿間移動の概算
hotel_laxio,ラクシオ・イン,hotel_routeinn_sagamihara,ホテルルートイン相模原,13,30,50,medium,宿間移動の概算
hotel_routeinn_sagamihara,ホテルルートイン相模原,hotel_hachioji,八王子駅周辺ホテル,18,40,60,medium,宿間移動の概算
hotel_routeinn_sagamihara,ホテルルートイン相模原,hotel_rb_hachioji,R&Bホテル八王子ワシントン,18,40,60,medium,宿間移動の概算
hotel_routeinn_sagamihara,ホテルルートイン相模原,hotel_routeinn_ebina,ホテルルートイン海老名駅前,18,40,65,medium,宿間移動の概算
hotel_mets_kokubunji,JR東日本ホテルメッツ国分寺,hotel_mets_musashisakai,JR東日本ホテルメッツ武蔵境,7,20,35,medium,宿間移動の概算
atsugi_science,厚木市子ども科学館,hotel_routeinn_ebina,ホテルルートイン海老名駅前,4,10,20,medium,南寄り移動の概算
atsugi_science,厚木市子ども科学館,hotel_routeinn_sagamihara,ホテルルートイン相模原,20,45,70,medium,南寄り移動の概算
atsugi_science,厚木市子ども科学館,sagamigawa,相模川ふれあい科学館,16,35,55,medium,南寄り移動の概算
atsugi_science,厚木市子ども科学館,science_dome,サイエンスドーム,35,70,100,medium,方面移動の概算
atsugi_science,厚木市子ども科学館,hotel_laxio,ラクシオ・イン,33,65,95,medium,方面移動の概算
atsugi_science,厚木市子ども科学館,hotel_hachioji,八王子駅周辺ホテル,37,75,105,medium,方面移動の概算
atsugi_science,厚木市子ども科学館,hotel_rb_hachioji,R&Bホテル八王子ワシントン,37,75,105,medium,方面移動の概算
jaxa,JAXA 宇宙科学探査交流棟,hotel_toyoko_fuchinobe,東横INN横浜線淵野辺駅南口,2,8,15,medium,JAXA午前寄せ候補
jaxa,JAXA 宇宙科学探査交流棟,hotel_livemax_minamihashimoto,ホテルリブマックス南橋本駅前,7,20,35,medium,JAXA午前寄せ候補
home,出発地（都度入力）,hotel_toyoko_fuchinobe,東横INN横浜線淵野辺駅南口,42,75,105,low,東京南部起点の概算
home,出発地（都度入力）,hotel_livemax_minamihashimoto,ホテルリブマックス南橋本駅前,43,75,105,low,東京南部起点の概算
tama_rokuto,多摩六都科学館,hotel_mets_kokubunji,JR東日本ホテルメッツ国分寺,14,35,55,medium,多摩六都午前寄せ候補
tama_rokuto,多摩六都科学館,hotel_kumegawa_wing,久米川ウイングホテル,6,18,30,medium,多摩六都午前寄せ候補
home,出発地（都度入力）,hotel_mets_kokubunji,JR東日本ホテルメッツ国分寺,32,65,95,low,東京南部起点の概算
home,出発地（都度入力）,hotel_kumegawa_wing,久米川ウイングホテル,38,75,105,low,東京南部起点の概算
tachikawa_bosai,立川防災館,hotel_emisia_tachikawa,ホテルエミシア東京立川,3,10,18,medium,立川防災館午前寄せ候補
home,出発地（都度入力）,hotel_emisia_tachikawa,ホテルエミシア東京立川,36,70,100,low,東京南部起点の概算
