plan_id,ホテル候補,エリア,大浴場条件,男性夜,男性朝,車・駐車,雨の日適性,今回の扱い,公式URL,確認日,確度
G,ホテルルートイン相模原 -国道129号-,相模原・上溝,ラジウム人工温泉大浴場「旅人の湯」男女別。15:00〜2:00 / 5:00〜10:00,○,○,国道129号沿い。上溝駅から車約5分・相模原愛川ICから車約12分。駐車条件は予約前確認,南西先行でJAXA中心なら雨の日に戻りやすい,本命,https://www.route-inn.co.jp/hotel_list/kanagawa/index_hotel_id_568/,2026-08-11,high
G,ラクシオ・イン,町田市小山ヶ丘・橋本/南大沢寄せ,宿泊者は徒歩3分の天然温泉ロテン・ガーデンを無料利用。日替わり男女浴室,○,△,平面駐車場146台無料,温泉・休憩スペース・漫画約1万冊・食事処があり滞在自体が強い,滞在重視なら有力,https://www.laxio.co.jp/,2026-08-11,high
G,スーパーホテル東京・JR立川北口,立川,高濃度人工炭酸泉「うたたねの湯」。男女入替制,○ 15:00〜18:20 / 22:30〜翌7:20,○ 翌7:20まで,駅徒歩約5分。駐車場条件は予約前確認,北東先行なら便利。無料朝食・ウェルカムバーあり,北東向き,https://www.superhotel.co.jp/s_hotels/tachikawakita/,2026-08-11,high
G,立川アーバンホテル,立川,男女別展望風呂。男湯にミストサウナ。17:00〜25:00,○,×,駐車場2台・有料,夜風呂だけなら使えるが朝風呂不可,保険,https://www.urban-hotel.jp/ta-urban/facilities/,2026-08-11,high
G,ホテルルートイン海老名駅前,海老名,ラジウム人工温泉大浴場「旅人の湯」男女別。15:00〜2:00 / 5:00〜10:00,○,○,海老名駅西口徒歩3分・海老名ICから車約9分,大浴場条件は強いが旅程中心から南に外れる,南側保険,https://www.route-inn.co.jp/hotel_list/kanagawa/index_hotel_id_631/facilities/,2026-08-11,high
G,八王子駅周辺ホテル＋松の湯,八王子,ホテル内大浴場ではなく外部銭湯を組み合わせる案,○ 14:00〜23:30,×,駅前ホテルの駐車場は個別確認。松の湯は駐車場あり,位置は最有力だが雨の日の外風呂移動が負担,位置優先の保険,https://hachiouji-matsunoyu.com/,2026-08-11,medium
G,R&Bホテル八王子ワシントン,京王八王子駅前,客室バス。大浴場なし,×,×,近隣有料駐車場。宿泊優待750〜1500円程度で台数少なめ・入出庫不可に注意,ツイン禁煙17㎡・110cm×2台のお子様添い寝プラン素泊まり12700円メモ。京王八王子徒歩約1分でサイエンスドーム後の中間泊にしやすい,八王子中間案の実名候補,https://www.washingtonhotel.co.jp/rb/hachioji/,2026-08-11,high
G,立川ワシントンホテル,立川駅南口,客室バス。大浴場なし,×,×,契約駐車場10台・完全予約制・1800円・7時〜23時で時間外入出庫不可,禁煙ダブル18600円メモ。ダブル18㎡・160cm、ツイン25㎡・110cm×2台。立川防災館や北東方面には便利だが親子2名で160cmベッド1台の睡眠幅は要確認,立川寄せの追加候補,https://washington-hotels.jp/tachikawa/,2026-08-11,high
G,JR東日本ホテルメッツ国分寺,国分寺・多摩六都寄り,客室バス。大浴場なし,×,×,近隣駐車場利用。車より駅前立地を活かす候補,19時チェックイン朝食なし11446円〜は安いが0時〜5時の駅ホーム改良工事音リスクあり,安価だが工事音注意,https://www.hotelmets.jp/kokubunji/,2026-08-11,medium
G,JR東日本ホテルメッツ武蔵境,武蔵境駅南口・多摩六都寄り,客室バス。大浴場なし,×,×,ホテル専用駐車場8台・要予約・1500円・ホテルから徒歩約5分・24時間入出庫可能,19時チェックインのショートステイ禁煙ツイン2名利用23200円メモ。公式客室はツイン20㎡・110cm×2台。ホテル周辺工事による一時的な作業音の告知あり,多摩六都朝寄せの実名候補,https://www.hotelmets.jp/musashisakai/,2026-08-11,high
